Account name,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,25/08/2024,GBP,15.3,13.37,"8,447",52
BSSAA Limited,PCM - Search - General Brand,Search,26/08/2024,GBP,36,15.84,254,29
BSSAA Limited,PCM - Search - General Product,Search,26/08/2024,GBP,10,1.41,44,4
BSSAA Limited,PCM - Search - Oral Solutions,Search,26/08/2024,GBP,14,21.69,129,22
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,26/08/2024,GBP,15.3,14.55,"1,754",18
BSSAA Limited,PCM - Search - General Brand,Search,27/08/2024,GBP,36,24.6,294,35
BSSAA Limited,PCM - Search - General Product,Search,27/08/2024,GBP,10,3.41,49,6
BSSAA Limited,PCM - Search - Oral Solutions,Search,27/08/2024,GBP,14,18.31,108,19
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,27/08/2024,GBP,15.3,14.14,"21,660",74
BSSAA Limited,PCM - Search - General Brand,Search,28/08/2024,GBP,36,20.38,243,36
BSSAA Limited,PCM - Search - General Product,Search,28/08/2024,GBP,10,1.08,40,3
BSSAA Limited,PCM - Search - Oral Solutions,Search,28/08/2024,GBP,14,14.78,122,19
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,28/08/2024,GBP,15.3,13.27,"11,932",37
BSSAA Limited,PCM - Search - General Brand,Search,29/08/2024,GBP,36,23.93,249,38
BSSAA Limited,PCM - Search - General Product,Search,29/08/2024,GBP,10,0.8,36,1
BSSAA Limited,PCM - Search - Oral Solutions,Search,29/08/2024,GBP,14,9.05,116,12
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,29/08/2024,GBP,15.3,13.29,"10,141",36
BSSAA Limited,PCM - Search - General Brand,Search,30/08/2024,GBP,36,17.54,214,33
BSSAA Limited,PCM - Search - General Product,Search,30/08/2024,GBP,10,0.65,37,3
BSSAA Limited,PCM - Search - Oral Solutions,Search,30/08/2024,GBP,14,11.52,113,15
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,30/08/2024,GBP,15.3,14.49,"21,167",70
BSSAA Limited,PCM - Search - General Brand,Search,31/08/2024,GBP,36,30.39,255,35
BSSAA Limited,PCM - Search - General Product,Search,31/08/2024,GBP,10,2.03,31,2
BSSAA Limited,PCM - Search - Oral Solutions,Search,31/08/2024,GBP,14,11.53,114,15
BSSAA Limited,PCM_BSSAA_Display_Consideration,Display,31/08/2024,GBP,15.3,12.64,"15,459",74
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,01/08/2024,GBP,20,29.62,"5,836",45
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,01/08/2024,GBP,40,38.01,592,23
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,01/08/2024,GBP,26.66,25.25,"13,615",5
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,01/08/2024,GBP,43.33,49.73,"22,633",72
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,01/08/2024,GBP,50,49.67,317,35
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,01/08/2024,GBP,22,21.72,"7,332",570
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,01/08/2024,GBP,30,28.99,"28,292",488
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,02/08/2024,GBP,20,20.69,"20,425",37
