Campaign,Campaign type,Day,Currency code,Cost,Impr.,Clicks
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,23/08/2024,GBP,24.98,"6,331",12
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,24/08/2024,GBP,24.8,"8,529",18
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,25/08/2024,GBP,24.6,"7,762",21
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,26/08/2024,GBP,24.38,"8,690",21
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,27/08/2024,GBP,24.18,"8,529",15
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,28/08/2024,GBP,23.89,"7,358",12
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,29/08/2024,GBP,23.51,"7,770",10
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,30/08/2024,GBP,22.95,"7,256",16
_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,31/08/2024,GBP,21.8,"6,982",9
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,01/08/2024,GBP,49.73,"22,633",72
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,02/08/2024,GBP,43.78,"42,818",66
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,03/08/2024,GBP,40.25,"56,138",125
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,04/08/2024,GBP,41.83,"77,527",232
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,05/08/2024,GBP,40.23,"117,252",386
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,06/08/2024,GBP,40.83,"149,784",648
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,07/08/2024,GBP,40.74,"179,621","1,025"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,08/08/2024,GBP,1.24,"5,563",51
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,09/08/2024,GBP,0.55,"1,932",22
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,10/08/2024,GBP,39.92,"177,738","1,074"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,11/08/2024,GBP,85.21,"369,593","1,759"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,12/08/2024,GBP,59.47,"232,985","1,507"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,13/08/2024,GBP,42.43,"190,539","1,126"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,14/08/2024,GBP,69.33,"265,046","1,431"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,15/08/2024,GBP,48.69,"224,386","1,009"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,16/08/2024,GBP,8.11,"38,556",239
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,17/08/2024,GBP,18.79,"79,852",553
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,18/08/2024,GBP,83.02,"277,625","1,760"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,19/08/2024,GBP,49.96,"206,615","1,017"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,20/08/2024,GBP,9.81,"39,420",318
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,21/08/2024,GBP,72.6,"349,837","1,739"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,22/08/2024,GBP,46.84,"253,628","1,182"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,23/08/2024,GBP,45.85,"258,125","1,229"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,24/08/2024,GBP,44.9,"234,201","1,289"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,25/08/2024,GBP,43.02,"218,052","1,242"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,26/08/2024,GBP,31.36,"153,931",966
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,27/08/2024,GBP,34.67,"165,471","1,053"
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,28/08/2024,GBP,41.25,"192,628",952
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,29/08/2024,GBP,18.38,"88,994",547
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,30/08/2024,GBP,20.96,"93,560",641
_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,31/08/2024,GBP,63.64,"293,275","1,462"
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,01/08/2024,GBP,49.67,317,35
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,02/08/2024,GBP,48.25,"1,150",101
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,03/08/2024,GBP,48.79,"1,196",108
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,04/08/2024,GBP,49.55,"1,207",116
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,05/08/2024,GBP,48.23,835,86
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,06/08/2024,GBP,49.05,"1,223",116
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,07/08/2024,GBP,49.74,820,93
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,08/08/2024,GBP,48.12,996,113
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,09/08/2024,GBP,40.66,991,103
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,10/08/2024,GBP,56.87,"1,224",139
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,11/08/2024,GBP,42.85,"1,057",113
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,12/08/2024,GBP,51.63,"1,158",132
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,13/08/2024,GBP,49.22,"1,211",131
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,14/08/2024,GBP,48.48,"1,189",128
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,15/08/2024,GBP,46.38,"1,074",126
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,16/08/2024,GBP,39.96,"1,035",117
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,17/08/2024,GBP,51.57,"1,202",137
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,18/08/2024,GBP,53.54,"1,290",146
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,19/08/2024,GBP,46.07,"1,176",127
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,20/08/2024,GBP,50.63,"1,098",135
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,21/08/2024,GBP,51.25,"1,190",146
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,22/08/2024,GBP,40.29,982,116
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,23/08/2024,GBP,39.02,826,112
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,24/08/2024,GBP,42.33,"1,060",124
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,25/08/2024,GBP,48.48,"1,103",137
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,26/08/2024,GBP,47,"1,149",135
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,27/08/2024,GBP,48.66,"1,278",138
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,28/08/2024,GBP,47.42,"1,225",139
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,29/08/2024,GBP,47.12,"1,249",139
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,30/08/2024,GBP,40.97,"1,019",123
_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,31/08/2024,GBP,37.27,"1,120",111
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,02/08/2024,GBP,42,"5,741",10
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,03/08/2024,GBP,74.42,"11,039",12
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,04/08/2024,GBP,39.3,"7,095",5
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,05/08/2024,GBP,39.56,"6,660",11
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,06/08/2024,GBP,39.16,"6,555",8
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,07/08/2024,GBP,39.2,"6,649",2
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,08/08/2024,GBP,39.28,"6,758",7
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,09/08/2024,GBP,38.83,"6,665",14
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,10/08/2024,GBP,41.35,"7,538",7
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,11/08/2024,GBP,36.72,"6,792",11
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,12/08/2024,GBP,38.28,"6,740",8
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,13/08/2024,GBP,38.47,"6,825",15
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,14/08/2024,GBP,38.25,"6,867",15
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,15/08/2024,GBP,38.54,"6,700",14
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,16/08/2024,GBP,38.55,"6,312",11
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,17/08/2024,GBP,38.36,"6,395",18
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,18/08/2024,GBP,38.32,"6,594",10
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,19/08/2024,GBP,38.05,"6,585",11
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,20/08/2024,GBP,37.91,"6,616",18
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,21/08/2024,GBP,37.92,"6,925",17
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,22/08/2024,GBP,37.64,"6,849",13
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,23/08/2024,GBP,37.3,"6,589",13
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,24/08/2024,GBP,37.22,"6,802",8
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,25/08/2024,GBP,36.95,"6,818",11
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,26/08/2024,GBP,36.41,"6,658",13
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,27/08/2024,GBP,36.17,"6,606",9
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,28/08/2024,GBP,35.92,"6,644",5
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,29/08/2024,GBP,35.32,"6,546",8
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,30/08/2024,GBP,34.34,"6,142",8
_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,31/08/2024,GBP,32.69,"6,166",11
