Account name,Campaign,Campaign type,Day,Budget,Cost,Impr.,Clicks
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,07/09/2024,40,41.9,"7,154",11
Bioglan,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,07/09/2024,27.58,54.9,"13,319",686
Bioglan,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,07/09/2024,34.48,43.13,967,147
Sambucol,_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,07/09/2024,88,109.17,986,132
Sambucol,_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,07/09/2024,88,92.71,"32,229",71
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,07/09/2024,22,42.94,"34,155",477
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,07/09/2024,30,59.33,"47,578",813
Bioglan,_bgl_bb_uk_display_cpc_traffic_aug_2024_,Display,08/09/2024,20,20.53,"65,949",377
Bioglan,_bgl_bb_uk_search_cpc_traffic_aug_2024_,Search,08/09/2024,40,41.22,"1,124",109
Bioglan,_bgl_bb_uk_video_cpm_traffic_aug_2024_,Video,08/09/2024,26.66,27.89,"9,790",16
Bioglan,_bgl_collagen_uk_display_cpc_traffic_aug_2024_,Display,08/09/2024,43.33,44.42,"180,708",643
Bioglan,_bgl_collagen_uk_search_cpc_traffic_aug_2024_,Search,08/09/2024,50,43.5,"1,438",120
Bioglan,_bgl_collagen_uk_video_cpm_traffic_aug_2024_,Video,08/09/2024,40,41.54,"7,125",19
Bioglan,_pcm_bgl_vg_sk_uk_display_cpc_traffic_sep_2024_,Display,08/09/2024,27.58,55.39,"17,719",786
Bioglan,_pcm_bgl_vg_sk_uk_search_cpc_traffic_sep_2024_,Search,08/09/2024,34.48,43.41,"1,141",148
Sambucol,_sambucol_b2s_category_uk_search_cpc_traffic_aug_2024_,Search,08/09/2024,88,115.72,"1,511",154
Sambucol,_sambucol_b2s_category_uk_video_cpm_traffic_aug_2024_,Video,08/09/2024,88,92.61,"34,869",62
Skin Doctors - PCM,NEW: PCM- VA+CC - 2024-25,Display,08/09/2024,22,44.12,"19,080",900
Skin Doctors - PCM,PCM_Depilatories_24-25,Display,08/09/2024,30,56.15,"47,109",855
Haliborange - PCM,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,02/09/2024,34,40.17,"6,282",53
Haliborange - PCM,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,02/09/2024,44.8,0.67,10,2
Haliborange - PCM,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,02/09/2024,86,85.98,"25,708",88
Haliborange - PCM,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,03/09/2024,34,36.76,"21,416",55
Haliborange - PCM,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,03/09/2024,44.8,0.75,34,3
Haliborange - PCM,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,03/09/2024,86,90.16,"31,284",104
Haliborange - PCM,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,04/09/2024,34,34.44,"11,515",75
Haliborange - PCM,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,04/09/2024,44.8,89.53,741,50
Haliborange - PCM,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,04/09/2024,86,89.15,"31,607",90
Haliborange - PCM,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,05/09/2024,34,15.95,"3,169",35
Haliborange - PCM,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,05/09/2024,44.8,89.57,695,53
Haliborange - PCM,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,05/09/2024,86,89.67,"32,279",102
Haliborange - PCM,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,06/09/2024,34,53.69,"2,704",76
Haliborange - PCM,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,06/09/2024,44.8,52.04,640,49
Haliborange - PCM,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,06/09/2024,86,90.04,"30,985",91
Haliborange - PCM,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,07/09/2024,34,31.33,"2,200",91
Haliborange - PCM,_haliborange_one4me4U_uk_search_cpc_traffic_sep_2024_,Search,07/09/2024,44.8,62.17,818,57
Haliborange - PCM,_haliborange_one4me4U_uk_video_cpm_traffic_sep_2024_,Video,07/09/2024,86,90,"31,109",91
Haliborange - PCM,_haliborange_halibaby_uk_display_cpc_traffic_sep_2024_,Display,08/09/2024,34,30.16,"2,887",85
