Weekly Tracker Data
"January 1, 2024 - July 31, 2024"
Account name,Customer ID,Campaign,Campaign type,Day,Currency code,Budget,Cost,Impr.,Clicks
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,2024-07-22,GBP,15.30,3.64,42,3
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,2024-07-22,GBP,21.00,12.42,93,15
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,2024-07-22,GBP,10.00,11.88,"14,711",68
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,2024-07-23,GBP,36.00,17.74,248,39
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,2024-07-23,GBP,15.30,1.90,46,3
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,2024-07-23,GBP,21.00,6.65,96,9
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,2024-07-23,GBP,10.00,18.23,"17,404",57
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,2024-07-24,GBP,36.00,19.58,351,43
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,2024-07-24,GBP,15.30,0.27,20,1
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,2024-07-24,GBP,21.00,7.96,94,15
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,2024-07-24,GBP,10.00,14.09,"21,283",76
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,2024-07-25,GBP,36.00,12.56,277,28
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,2024-07-25,GBP,15.30,1.30,17,2
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,2024-07-25,GBP,21.00,7.70,87,11
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,2024-07-25,GBP,10.00,15.77,"15,950",73
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,2024-07-26,GBP,36.00,12.83,285,34
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,2024-07-26,GBP,15.30,0.80,10,2
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,2024-07-26,GBP,21.00,5.41,59,11
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,2024-07-26,GBP,10.00,14.64,"15,838",82
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,2024-07-27,GBP,36.00,19.57,220,27
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,2024-07-27,GBP,15.30,4.63,28,6
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,2024-07-27,GBP,21.00,10.69,62,8
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,2024-07-27,GBP,10.00,16.51,"14,884",68
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,2024-07-28,GBP,36.00,17.73,258,33
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,2024-07-28,GBP,15.30,1.21,21,2
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,2024-07-28,GBP,21.00,16.79,63,19
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,2024-07-28,GBP,10.00,14.39,"11,208",47
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,2024-07-29,GBP,36.00,23.63,250,35
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,2024-07-29,GBP,15.30,1.42,18,2
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,2024-07-29,GBP,21.00,7.51,48,7
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,2024-07-29,GBP,10.00,16.09,"19,942",88
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,2024-07-30,GBP,36.00,21.69,274,33
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,2024-07-30,GBP,15.30,1.57,34,4
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,2024-07-30,GBP,21.00,6.52,61,9
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,2024-07-30,GBP,10.00,14.29,"9,265",42
BSSAA Limited,265-723-1290,PCM - Search - General Brand,Search,2024-07-31,GBP,36.00,11.57,256,25
BSSAA Limited,265-723-1290,PCM - Search - General Product,Search,2024-07-31,GBP,15.30,0.76,21,1
BSSAA Limited,265-723-1290,PCM - Search - Oral Solutions,Search,2024-07-31,GBP,21.00,10.83,63,15
BSSAA Limited,265-723-1290,PCM_BSSAA_Display_Consideration,Display,2024-07-31,GBP,10.00,13.47,"11,277",40
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-01,GBP,2.00,8.04,"30,716",124
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-01,GBP,2.00,8.08,"26,310",69
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-01,GBP,2.00,8.12,"22,701",68
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-01,GBP,2.00,7.88,"41,968",163
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-01,GBP,2.00,8.10,"28,906",124
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-01,GBP,5.00,8.18,"35,110",164
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-02,GBP,2.00,8.21,"27,135",116
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-02,GBP,2.00,8.25,"24,045",82
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-02,GBP,2.00,7.86,"31,121",56
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-02,GBP,2.00,8.12,"38,553",163
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-02,GBP,2.00,8.18,"29,954",119
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-02,GBP,5.00,8.05,"31,143",181
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-03,GBP,2.00,7.58,"34,875",101
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-03,GBP,2.00,8.22,"27,744",71
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-03,GBP,2.00,8.58,"31,941",51
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-03,GBP,2.00,7.92,"43,103",171
Cherry Godfrey Group,207-885-5773,Mortgages Guernsey 2022,Display,2024-01-03,GBP,2.00,8.16,"26,626",111
Cherry Godfrey Group,207-885-5773,Mortgages Jersey 2022,Display,2024-01-03,GBP,5.00,8.15,"29,098",174
Cherry Godfrey Group,207-885-5773,Guernsey LInsurance 2022,Display,2024-01-04,GBP,2.00,8.76,"30,352",111
Cherry Godfrey Group,207-885-5773,IOW Life Insurance,Display,2024-01-04,GBP,2.00,7.72,"23,756",73
Cherry Godfrey Group,207-885-5773,IOW Mortgages,Display,2024-01-04,GBP,2.00,6.84,"33,765",49
Cherry Godfrey Group,207-885-5773,Jersey LInsurance 2022,Display,2024-01-04,GBP,2.00,8.76,"39,080",180
